source_dataset,source_adapter,battery_id,cycle_index,capacity_ah,soh,remaining_cycles,max_discharge_temp_c,max_charge_temp_c,discharge_temp_slope,voltage_slope
NASA PCoE Battery Aging Data,official_mat_archive,B0005,0,1.8564874208181574,1.0,100,38.98218133148803,27.445134031590747,0.0031353421481630523,-0.00020571562780700132
NASA PCoE Battery Aging Data,official_mat_archive,B0005,1,1.846327249719927,0.9945272071416714,99,39.033397966787035,29.34194895777482,0.003101124846433011,-0.0002046711068351991
NASA PCoE Battery Aging Data,official_mat_archive,B0005,2,1.8353491942234077,0.9886138595081705,98,38.818796689817404,29.553300732538816,0.0030741413389626412,-0.00020015941349001902
NASA PCoE Battery Aging Data,official_mat_archive,B0005,3,1.8352625275821128,0.9885671763794173,97,38.7623045063458,29.456340289732644,0.0031130159716637215,-0.00020513964592992352
NASA PCoE Battery Aging Data,official_mat_archive,B0005,4,1.8346455082120419,0.9882348178817771,96,38.66539257343368,29.4813335075363,0.0031270660704430736,-0.00020802723780734026
NASA PCoE Battery Aging Data,official_mat_archive,B0005,5,1.8356616600675495,0.9887821697485943,95,38.75169504640032,29.39582042914756,0.003117308226993717,-0.00020864213748499722
NASA PCoE Battery Aging Data,official_mat_archive,B0005,6,1.8351461429226603,0.9885044855913476,94,38.8207012322275,29.438424119486054,0.0031233458244590093,-0.00021108551769777507
NASA PCoE Battery Aging Data,official_mat_archive,B0005,7,1.8257567905665537,0.9834468955151549,93,38.51713023385634,29.510810563981206,0.0031528622723409646,-0.00020543200523759445
NASA PCoE Battery Aging Data,official_mat_archive,B0005,8,1.8247738529891333,0.9829174345738104,92,38.526267904657,29.668813794471543,0.003202506658747079,-0.0002104626317132412
NASA PCoE Battery Aging Data,official_mat_archive,B0005,9,1.824613268496936,0.982830935473199,91,38.52698128472781,29.779288735822295,0.003214994142845559,-0.00021337141064168053
NASA PCoE Battery Aging Data,official_mat_archive,B0005,10,1.8246195526864504,0.9828343204622076,90,38.54143406601644,29.71100043300344,0.0032763267219634274,-0.00021875031113723477
NASA PCoE Battery Aging Data,official_mat_archive,B0005,11,1.8142019357673917,0.9772228539894279,89,38.52197451768004,30.37677905152779,0.003261524749912249,-0.0002116788568709329
NASA PCoE Battery Aging Data,official_mat_archive,B0005,12,1.8137521577549054,0.9769805803238794,88,38.582485834057856,30.05302011094364,0.0032979278020054694,-0.0002167899800921197
NASA PCoE Battery Aging Data,official_mat_archive,B0005,13,1.8134404914735822,0.9768127007692816,87,38.520294134873915,30.168468843680714,0.003348824735465318,-0.00021884705403229983
NASA PCoE Battery Aging Data,official_mat_archive,B0005,14,1.8025980036306504,0.9709723768751647,86,38.21358592965045,30.06078601207466,0.0033013989287612013,-0.0002102114421949848
NASA PCoE Battery Aging Data,official_mat_archive,B0005,15,1.80210690024615,0.9707078432300706,85,38.1983618706913,29.84105303532721,0.0033521132711416533,-0.0002144239670460465
NASA PCoE Battery Aging Data,official_mat_archive,B0005,16,1.802579500826209,0.9709624103091467,84,38.31926916027133,29.90236309006016,0.0033898783248075873,-0.00021902469221990773
NASA PCoE Battery Aging Data,official_mat_archive,B0005,17,1.8030683142834096,0.9712257104811376,83,38.4787542519308,30.108307461804788,0.0034247608024740653,-0.000223807695349657
NASA PCoE Battery Aging Data,official_mat_archive,B0005,18,1.8027776247196041,0.9710691300699019,82,38.54659017774874,30.32132377942574,0.0034444615208685998,-0.00022556922501002782
NASA PCoE Battery Aging Data,official_mat_archive,B0005,19,1.8470259949329193,0.9949035873989017,81,38.44749852224995,29.01875034428269,0.0031458812235625583,-0.00021049310364493545
NASA PCoE Battery Aging Data,official_mat_archive,B0005,20,1.847417311283644,0.995114370594272,80,38.992275791716615,29.356471957843606,0.0032561350341880463,-0.00021914606655187196
NASA PCoE Battery Aging Data,official_mat_archive,B0005,21,1.8361774213478947,0.9890599854098058,79,38.51424197364312,29.32754285404437,0.003253898075896997,-0.0002126089522077102
NASA PCoE Battery Aging Data,official_mat_archive,B0005,22,1.8257807475776242,0.9834597999985366,78,38.165816144899125,28.938506516868497,0.003303183482913263,-0.00020863094257363293
NASA PCoE Battery Aging Data,official_mat_archive,B0005,23,1.8251136435078368,0.9831004632950897,77,38.16526203587147,28.754789972770777,0.00331376373577037,-0.0002115519332277475
NASA PCoE Battery Aging Data,official_mat_archive,B0005,24,1.8255815042203762,0.9833524772367372,76,38.27549578575718,28.688602374299098,0.0034121703045465845,-0.0002206940970092614
NASA PCoE Battery Aging Data,official_mat_archive,B0005,25,1.8140311275083907,0.9771308478400268,75,37.982160799183106,28.633407089003214,0.0033882669507997996,-0.00021096024373885869
NASA PCoE Battery Aging Data,official_mat_archive,B0005,26,1.8147691941158939,0.9775284086310274,74,38.11100191887773,28.589954117359028,0.0034479788155737643,-0.00021883125034359593
NASA PCoE Battery Aging Data,official_mat_archive,B0005,27,1.813969388710352,0.9770975921350076,73,38.18831137948753,28.50176643400805,0.0034700738450945436,-0.00022239830278117284
